Dear, what kind of business mail is it?| What business are you talking about||0
How did Yang Mi and Hawick Lau meet || How did Yang Mi and Hawick Lau meet? ||1
What is the difference between Xiaomi flashing, the development version and the stable version? || Is the Mi 3 development version good? Is the stable version better? ||0
How to read Sina Weibo. Weibo online record || How to check the blacklist on Sina Weibo||0
Does Jay Chou speak English || Does Jay Chou speak English well||0
What color top goes with the flower gray pants? || What color pants go with a gray top? ||0
How to wash white clothes || How to wash white clothes? ||1
Where can I have wholesale socks || Where can I wholesale socks? ||1
How to write in pinyin || How to add pinyin? ||1
In which anime || Who is this in which anime||1
Is there any good TV series introduction || Nice TV series, please introduce||1
Shanghai to Yunnan || Dongguan car can enter Guangzhou||0
What font is used in the font in the picture? || What is the font of this picture font||1
Seek pictures of this girl || Seek other pictures of this girl ||0
cut! When will the Crimson Eye be updated? || When will the Crimson Eye be updated||1
Why does the lower lip always blisters! || Why does my lips get blistered in the fall. ||0
What does the transition period mean? || What does the transition period mean||1
Where is the Quill of Purcell || Where is the Quill of Purcell ||1
Why can't my TV turn on?|| Why can't my TV turn on.||1
What is the most ferocious fish in the world || What is the name of the world's top ten freshwater fish||0
Which is better, BMW or Mercedes? || Which is better for Mercedes-Benz or BMW ||1
I want to do duck Guangzhou where to recruit || Guangzhou to go there to play||0
How to download WeChat || How to download WeChat||1
What kind of movie is this, Korean || What kind of movie is this? What is it called in Korea? ||1
Can the marriage certificate be processed in a different place? || Which bank can I apply for a credit card||0
What is the next sentence without a book for a day || What is the next sentence without a book for a day? ||1
What is the difference between a wash-down toilet and a siphon toilet? || What is the difference between a siphon toilet and a flush toilet? ||1
My husband wants it every day, what should I do? || What's the matter with wanting my husband to intervene every day||0
How to make yourself stronger || How to make yourself stronger||1
Why can't my mobile phone receive calls. || Why can't my mobile phone receive calls when surfing the Internet||1
Shenzhen Vanke Real Estate-Real Estate Project Planning Process || 30 Steps for Real Estate Project Planning ||0
How to check the configuration of a laptop || How to check the configuration of a laptop||1
How to download a mobile phone dictionary || How to download a mobile phone dictionary||1
Find the source of this picture || Find the source of this picture||1
How can I make money? || How can I make money? ||1
Who is the picture below || Who is the woman in the picture below||0
What Weibo do celebrities use || What Weibo do celebrities use||1
Who is this beauty? || Who is this beauty? ||1
The ending of the first season of the Tomb Notes || The ending of the Tomb Notes is not understood ||0
How to write the scribbles of Su, Gen, Bin, look good || Use yes, but, is to write a sentence ||0
How to say Uncle in Korean || How to write Uncle in Korean||1
Have you obtained the other party’s authorization to consult account information? || Have you been authorized by the other party to consult account information? ||1
What does the pattern of this tattoo mean? || What does this tattoo picture mean? ||1
What game is this picture || What game is this picture||1
What gift to give to girlfriend on Valentine's Day || What gift to give to girlfriend on Valentine's Day||1
What is the color of gold containing iridium || What is the color of rusty gold||0
Is it appropriate for a monkey female and a snake male to be together? || Is it suitable for a female of the rabbit genus and a male of the monkey genus to be together||0
What is the healthiest animal in the Chinese zodiac? || What is the most thief animal in the Chinese Zodiac ||0
What is the word 'water' under the head of the person || What is the word for a person under the water above ||0
What's the synonym of elated? || What's the synonym of elation||1
How many companies do lithium battery companies in Guangdong have? | Does Guangdong apply for private technology companies that require how many patents? ||0
The biggest waste: (beat one idiom) || The biggest waste beat one idiom||1
Why the computer shuts down automatically || What is the reason why the computer shuts down automatically||1
What is the antonym of attraction || What is the antonym of attraction? ||1
Can anyone help me make a novel cover? || Please help me make a novel cover||1
How to unblock the Thunder fighter when it is blocked || How to unblock the Thunder fighter when it is permanently blocked||0
Can you tell us more about the problems you encountered in the operation? || Can you specify the problems encountered in the operation? ||1
How is the salary of a courier calculated|| How is the salary of a courier calculated||1
What is the longest car in the world except for the train? || Except for trains, what is the longest car in the world? ||1
How can the Dream of the Three Kingdoms be double-opened
I have the third set of RMB || The third set of RMB||0
Will it rain in Xindu today? || Why is it still snowing in Beijing today? ||0
Recommend a TV show to me || Recommend a TV show! ||1
Is the Hebei Institute of Architectural Engineering publicly run || Dormitory of Hebei Institute of Architectural Engineering||0
What if I don’t want to do homework || I don’t want to do homework||1
What software is good for writing novels || Which software is good for reading novels||1
Can aloe be applied directly on the face? what's the effect? || What are the effects of aloe vera juice? Can it be applied directly on the face? ||1
How to cook dried cauliflower || How to eat cauliflower snake||0
Is there a night market in Shanghai || Is there a night market in Shanghai? ||1
What is Chongqing most famous for || What is Chongqing most famous for? ||1
Can drinking Pu'er tea lose weight || Can drinking Pu'er tea lose weight? ||1
What kind of short hair is suitable for a big round face || What kind of short hair is suitable for a big round face||1
The stars twinkle and twinkle into anthropomorphic sentences || The stars twinkle and twinkle in the sky.||0
Is the universal air conditioner remote control really omnipotent? || How long does it take to link the air conditioner universal remote control? ||0
Dream of dressing the dead || Dream of helping the dead ||0
What does must mean? || What does must mean||1
Can you take a screenshot of the prompt on the next page || I need to take a screenshot of your page. After you open it, give me the screenshot of the page. ||0
What are the characteristics of the computer science and technology major? || How about computer science and technology major?||0
Can massage make the breast bigger || How to massage the breast to make it bigger||0
What's my mother's grandma? || What is my mother's grandma ||1
What is the name of a novel I want to write || I don't even know this, who can know it||0
Which is better, Sina Weibo or Tencent Weibo? || Who has the most fans on Sina Weibo and how many ||0
Who likes Wang Yuan? || Lee Min Ho, Kim Soo Hyun, who do you like ||0
Seeking hypnotic novels. || Seeking hypnotic novels! ||1
How to write a cute puppy || How to write a cute puppy? ||1
If there are no other questions, I won’t bother you here. I wish you a happy weekend~ || If there is nothing else that can serve you, Xiaoer will close the dialogue here, I wish you a happy life, goodbye ||1
Did you buy something on Taobao || Which website did you buy something on||0
When is it cheaper to buy a car? || When is it cheaper to buy a car? ||1
What is a good way to increase breasts? || What is a good way to increase breasts? ||1
Add radicals to sense words to form new words and then group words || Same characters add radicals to form words and then group words ||0
Where is the coolest summer in China || Where is the coolest summer in China? ||1
Hello, this SMS cannot be set up. Normally, it is prompted by SMS or pushed by Alipay wallet || The account associated with this quota is not shared, but it is shared on the mobile phone and the computer ||0
Where can I buy the student discount card for train tickets? || Where can I get a train ticket student discount card? ||1
How to use the game life redemption point || How to do the game life redemption point||1
Who has hacking software || Who can do hacking software||0
Xiao Er is not clear || Leave the first one if you don’t know, and fill in the company name for the second one ||0
You are a Japanese how to say in Japanese || How is Japan how to say in Japanese||0
How to increase the click-through rate of a blog || How to increase the click-through rate of a blog||1
What zodiac (long body, short limbs, thick tail)? || What is the zodiac sign with long limbs and short tail? ||1
Find the source of this comic || Find the source of the comic||1
Dreaming of a dead father || Dreaming of a dead father resurrecting||0
