Is swinging translation or rotation?| Is swinging rotation or translation||1
I want to check the loan balance in ICBC || I want to cancel an order in Jingdong Mall||0
Why the girl I like doesn't like me. || Why don't the girls I like like me? ||1
Eat half and throw half || Eat half, take half||0
Can you provide a screenshot of this operation page? || At present, which step of your real-name authentication cannot be performed, can you take a screenshot of the display on the next page? ||0
Hello, please fill in your complete identity information || Please use English half-width uppercase state, enter the business license number and the legal person ID number, trouble you. ||0
Is there any good-looking wallpaper || Seeking a good-looking lock screen wallpaper||1
What is the most popular toy now || What toy is popular now? ||1
What fruits can't be put in the refrigerator? || What fruits can't be put in the refrigerator||1
What does the upper left eyelid jump mean|| What does the upper left eyelid jump mean||1
What are the classic cross talks of Guo Degang || Classic cross talk of Guo Degang and Yu Qian ||0
Is it really possible to shoot a gun through the line of fire? || Is there really a gun for crossing the line of fire? ||1
Are the female drug dealer's pants wet || Everyone guess what pants this female drug dealer wears||0
What exactly does ah babble mean || What does yi mean specifically? ||0
How to fold a ring with money || How to fold a ring with money ||1
Which Korean makeup brands are good || Korean makeup brands ||1
Why can't my Fantasy Westward Journey open || Why can't my Fantasy Westward Journey open||1
How can I make myself strong? || How to make my heart stronger||1
Are Watsons fakes OK || Is Watsons fakes||0
Two-character screen names beginning with Mo || Two-character game screen names with words ||0
Why is Jackie Chan's son named Jaycee Chan? || Why is Jackie Chan called Jackie Chan and why is his son named Jaycee Chan||1
How does the teacher handle the relationship between the students || Talking about how to correctly handle the relationship between the teacher and the students ||1
What is the most afraid of Sleeping Beauty? || What is the most afraid of Sleeping Beauty/||1
What are some fun web games || What are some fun web games? ||1
What brand of hat is this || What brand of hat is this? ||1
Why can men also ligate? || Men can also be ligated? ||0
Ben two pronunciation groups of words || Ba's group of words, two pronunciations ||0
Which website is good for online shopping || Which website is good for online shopping||1
Hmm, the sun is big or the moon is big || The sun is big or the moon is big. ||1
Where is the High School Affiliated to Peking University || Where is the High School Affiliated to Peking University? ||1
What can I do to make money with children at home || What can I do to make money with children at home/||1
Is the 1587********* Alipay account yours? || Hello, you need to enter the 9 digits behind 886-*********, please re-enter ||0
What is a female character in the word of mouth? || What is a female character in the word of mouth||1
There is moonlight in front of the bed, what's the next sentence? || What is the next sentence of the moonlight in front of the bed? ||1
How to apply for 'Employment and Unemployment Registration Certificate' || What materials need to be submitted for 'Employment and Unemployment Registration Certificate'? ||1
Is the Bulgari ring cheap in Singapore || Is it cheap to buy a car at the Qingdao Auto Show||0
Dad Dad || I beg Dad brother to stop the full text||0
A sheep came to the house last night, okay || A cat came to the house, okay ||0
What is the use of wealth. || What's the use of wealth value||1
What special gift to give my girlfriend || What to give my girlfriend a college graduation gift||0
Who can tell me what TV series this is || Who can tell me what TV series this is? ||1
How can I make money || How can I make money||1
What is the energy value of a person || What is positive energy? ||0
What brand of trolley case is good? || What brand of trolley case is good-||1
What are the most popular online games?| What are the most popular online games? ||1
Who is Jolin Tsai’s current boyfriend || Who knows what’s the name of Jolin Tsai’s boyfriend||1
What clothes are most popular this year || What clothes are popular this year||1
Nice mobile wallpaper, || mobile wallpaper! good-looking! ||1
Can I play Rocky Heroes in this configuration || Can I play Rocky Heroes in this configuration||1
You can check the details on the Alipay homepage || Hello, the black ones on the right are the account balance, orange expenditure, and green income, from bottom to top. ||0
How to change the skin of my world || How to change the skin of my world? ||1
How about Nubian phones? Okay? || How about Nubian phones||1
What is coolie afraid of || What is coolie||0
What radicals can be replaced with and how to form words || What radicals can be replaced with and how to form words ||0
How to get from Huairou to Beijing Vocational College of Agriculture? || How to take a bus from Pinggu to Beijing Vocational College of Agriculture||0
How do you get this hat from Locke Kingdom || How do you get this hat from Locke Kingdom||1
What animal has eight legs || What is an eight-legged animal||1
Can I lose weight by running every day || When is the most weight loss by running every day? ||0
Why do people live || Why do people live so tired? ||0
What to wear on Ching Ming Festival || What pictures to draw on Ching Ming Festival ||0
What gift to give to parents, relatives and friends || What gift to give to parents~||0
What is the structure of the word Luo || The star of the two words! Who is this? ||0
Girls playing the piano come in! || Girls play the piano and sing||0
What should I give as a birthday present for boys? || What birthday gift to give boys ||1
What is it like to fall in love at first sight? || What does it feel like to have sex? ||0
What does unthinking false mean || What does unthinking false mean||0
Instant noodle card when I was young || Instant noodle when I was young||0
What other fables are there || What fables are there ||1
May I ask which fund do you disagree with? || Which funds do you have objections to? ||1
Seeking blood color holy light brush powder, || Seeking blood color holy light brush powder! ||1
Which website has good clothes || Which website has good clothes? ||1
What browser is best to use || What is the best browser||1
Can time really change everything? || Can time really change everything? ||1
Games in the arcade || Games in the arcade||1
What method is displayed on the page where you retrieve your password? || Hello, the page prompts you to modify in any way. ||0
How to write artistic words to look good? || How to write artistic words to look good||1
How to eat dried small cuttlefish || How to wash cuttlefish||0
Supplement this idiom to death and then () complete || Supplement the idiom completely||1
What kind of work makes money fast. || What kind of job makes more money||1
How can I register a Google account || How to register a Google account||1
Love You Song Notation || 'The Night I Miss You' Notation||0
What does Xinjiang Tobacco Company’s recruitment examination take? || When does the internal examination of the tobacco company generally start||0
What is the nutritional value of dragon fruit || What is the nutritional value of dragon fruit||1
How to lengthen eyelashes || How to lengthen your eyelashes! ? ||1
How to clean a mobile phone case || How to clean a mobile phone case||1
How to write happy birthday in Korean? || How to write happy birthday in Korean||1
What is a plug-in || What is a plug-in? ||1
What should I do if the hairs on my legs grow? || What should I do if my shoes are stained with gum? ||0
Where are the princes of the Fenghuo Opera || Where are the princes of the Fenghuo Opera?||1
Pile Foundation Course Design || Pile Foundation Course Design,||1
Xiaoer here will push a push box for you. Please fill in the mobile phone number bound to your account. || Xiao Er here will push a push box for you, please fill in the mobile phone number bound to your account. ||1
How to get multiplayer video in the mobile version of Minecraft ||0
Which one is better for Changchun gynecological examination || Which one is better for Changchun gynecological examination||1
Where is Wu Yi? || Where is Wu Yi from||1
What does Tashi Delek mean || What does Tashi Delek mean? ||1
Which province is Jinggangshan in? || Which province is Jinggangshan||1
'Wulin Gaiden' || About Wulin Gaiden||1
Why do men cheat? || Why are men hard||0
What kind of clothes are the warmest in winter? || What to eat to keep warm in winter||0
How to check reserved train tickets || How to check reserved train tickets||1
How about Jinan Kidney Hospital || How about Jinan Kidney Hospital? Okay? ||1
I can’t see the built-in camera of the notebook when I open my computer || How do I open the camera on my computer in normal times||0
Seeking automatic coding software || Seeking wall climbing software download||0
Hello, it’s troublesome for you to re-operate. || Hello, you have worked so hard to re-operate, please trouble you. ||1
How to download Coupon?|| How to download Coupon? ||1
What does heartbreaking mean? || What does heartbreaking mean||1
Where is this coin || What is this coin! ? ||0
Where to travel in this season || Where to travel in this season? ||1
Seeking Tianlai Zhiyuan's novel! || Seeking Tianlai Paper Kite All Novels||1
Who is Liuliu's husband || Who is Liuliu's husband||1
Why didn't Heizi's basketball appear in the third season yet || Why can't it be found in the second season of Star Travels? ||0
What are the rumored girlfriends of Huang Xiaoming || What are the rumored girlfriends of nichkhun||0
What does it mean to be female? || What does it mean to bring a woman? ||0
Where can Tangshan specialty products be sold? || Where can there be special products in Tangshan that are easier to bring back to the south? ||0
Who has anime guys who are engaged in base photos? A lot of requests. || Seeking an anime character song in anime, there are two cats who are engaged in base photos ||0
What is not tasty? || What's delicious? ||0
How to write the shop introduction on Taobao || How to do the shop introduction on Taobao? ||1
What is the last sentence of Xiaoqiaoliushuirenjia? || What is the sentence behind Xiaoqiaoliushuirenjia||0
Who can give me the number and password of Ola Star || Who can give me the number of Ola Star 4 100 passwords and passwords are given to me ||0
Questions in Journey to the West || Questions on Journey to the West||1
Are there any good TV shows right now? || What TV series look good now? ||1
What color of hair do boys look good? || What color looks good on boys' hair? ||1
What does boundlessness mean || What does boundlessness mean? ||0
What toothpaste is best || What toothpaste is best to use? ||1
What happened to Jing Boran and Fu Xinbo || What happened to Jing Boran and Fu Xinbo now||1
Guess what idiom is this || What is this idiom in 'Guiming Idiom'? ||1
Is there a formula for the valence in the chemical equation || What is the formula for the valence of the chemical? ||0
How to open and hang Tiantian Speed ​​|| How to open and hang Tiantian Speed. ||1
Where did the sun rise || Where did the sun rise||1
How to brush the mobile brush purple diamond? || Mobile how to brush drill||1
Which languages ​​does Premier Zhou Enlai speak? || How many languages ​​does Zhou Enlai speak? ||1
Is your balance payment function turned off || Transaction closure (the seller voluntarily closes the non-payment transaction). ||0
Who are the astronauts of Shenzhou VII || Who are the astronauts of Shenzhou VI||0
How to wash Shenwu mutant baby || How to wash Shenwu mutant baby||1
Is it better to go to high school or technical school? || Is it better to go to technical school or high school? ||1
You can log in to your online bank for verification or you can contact the bank staff for verification. || You log in to your online bank for inquiries or you contact the bank staff for verification, thank you very much. ||1
What is the tallest animal in the world || What is the tallest animal in the world||1
English translation for dog food || English translation under. ||1
Seeking novels, about sister control || Seeking novels that travel to a world with only orcs||0
What fruit is on the picture? || What fruit is in the picture||1
What online games do you make money now? || What online games make money fast now||1
Why is One Piece so beautiful! || Why is One Piece so beautiful||1
What does the egg mean || What does the egg mean||1
What does it mean to be pure? || What does innocence mean||1
What is the fate of being born at 13:20 on January 19, 1977 || 1977 Nong Li was born at 1:30 noon on May 28 in the Five Elements||0
Which is the best, tiger or crocodile || Which is the best, crocodile or tiger? ||1
Believe in the name of the ending song of the romance of love || What is the name of the ending song of the romance of love||1
Asked how to add some Yun Beast || How to knit a baby sweater video||0
Does this hat look good || Does my hat look good||0
Do you sell 'Magic Fight'? || What is 'Magic Fight'? ||0
Why can't the phone install software || How to prevent the computer from downloading anything||0
What is the most profitable joining now || What is the most profitable joining now||1
Why do cacti bloom? || Why cacti do not bloom easily ||0
When will the sixth set of renminbi be issued || When will the sixth set of renminbi be issued||1
Are there any good movies in the cinema recently || Are there any good movies recently||1
Five copies of Fantasy Westward Journey || Fantasy Westward Journey Alchemy Formula||0
Will menstrual weight gain?|| Will menstrual weight gain? ||1
How to use no false thinking in a sentence || How to use no false thinking in a sentence? ||1
Urban Novel Recommendation || Recommend this Urban Novel||1
Hello, are you operating to reset your password? || Hmm, it will be automatically unlocked after 3 hours after the password is locked||0
What is Lenin's famous saying What is Gorky's famous saying || What is Gorky's famous saying about water||0
Why is life so difficult? || Why is life so difficult? ||1
How to treat trigeminal neuralgia || How to treat trigeminal neuralgia||1
Which anime in this picture || What anime in this picture||1
What kind of wooden bracelet is this? || What kind of wood is my bracelet? ||1
What is the Ending Song of The Legend of White Snake? || What is the Ending Song of The Legend of White Snake (Chen Zihan Version)||1
How to remove the scale in the kettle || How to remove the scale in the kettle? ||1
You can re-register your account to use it. If this account is not used, it will not affect your other accounts. || If there is no funds in the account, please give up using it and re-register your Alipay account to use it. Trouble you. ||0
What to do if I like my teacher || What to do if I like my teacher ```||1
Where can I watch the complete TV series 'Xie Wendong'? || Where can I watch the complete series of Xie Wendong TV series? ||1
What is the font on this picture? || Who is this? Taobao model. what is it call? ||0
How can I make my chest smaller? || How to make the feet smaller||0
A person who moved me || A person who moved me||1
How to download mobile translation software || How to download translation software on mobile||1
Can I lose weight by drinking Tieguanyin? || Does He Tieguanyin Tea Lose Weight||1
Will Transformers look good? || Does Transformers look good...||1
Is there a movie with a big monster || What movie is this with a monster? ||0
What is the reason for the transfer, dear || It may be caused by network delays||0
Gu Jian Qi Tan's fan fiction, || Gu Jian Qi Tan's fan fiction ||1
Which profession is good for Denon Babu? || Which sub-professional in Sword Spirit is the most profitable||0
You can check in your Alipay || The bill is imported successfully, you can click the card column on the credit card repayment page to view the email bill details; ||0
Zhougong interprets dreams of being bitten by a dog || Zhougong interprets dreams of being bitten by a dog||0
Looking for a super funny joke? || Seeking a super funny joke||1
How do I love you in Korean || How do I love you in Korean? ||1
Please introduce the situation of Anhui Agricultural University || Who can introduce me to Chaohu City, Anhui ||0
