Is the maximum loan of 2,000?| Is the maximum of 10,000? ||1
Why do you all give some QQ trumpets to your quota, do you guys like these public users don't give quotas || When will the micro-credit loan be cancelled, you can be invited again||0
Microparticle loan repayment failed || Can the loan continue after full repayment||0
Are there any event coupons? || Event Coupon||1
What is the daily limit and how many transfers in a day || Transfer-out quota||1
The micro loan icon disappeared || Will the micro loan disappear||0
Hello, I’m the last repayment day today, the card is not enough money, I transferred it in after ten o’clock in the evening and never deducted it|| I transferred the money to the memory card, but it has not been deducted yet||1
Can I change the repayment date || Can I apply for a late repayment date||0
Cancel my loan || Cancel order||0
6: How often does the reviewer contact me || What's the matter?||1
I have always had a sufficient balance, but the payment has not been deducted || Hello. The deduction in the morning was unsuccessful but the deposit was made before 17:00. Why is there no deduction||1
Why I didn’t have a loan || 1When will I be invited to use the micro loan||0
There are too many information input errors to borrow money || I just failed to borrow money, what's the matter? Or what should I do ||0
What is the total interest for borrowing 1,000 yuan for ten months? || How much is the handling fee for one of my 6000 loans||0
After the loan is successful, the interest will be calculated from Duohui || What time will be paid back without interest||0
The money has not arrived || Where is the money||0
It’s been 2 days, why haven’t I called yet || I applied at 5 pm, what time should I call to confirm||0
Usually a few days to lend money || 7 hours have passed, why is it so late||0
WeBank has failed the approval, can I still borrow money in the future? || You are in order to meet the approval requirements for micro-grain loans||1
Function || What is liquidated damages||0
I didn’t hear your company phone number just now, can you call us again || You can call us again, now we can communicate with each other ||0
When can I get the loan || Can I get another loan after I borrowed the four thousand yuan?||0
Is it okay to open the microfinance loan|| What are the conditions for the microfinance loan||0
Are QQ Micro Loans and WeChat Micro Loans together || You can look to post card deductions||0
Failed to borrow money || Why my Weiweidai always shows that the personal information has been entered incorrectly many times but my input is correct ||0
I would like to ask why there is no particulate goods in my WeChat wallet after I open an account? || How to open an account in the app||0
Why can’t I log in? || Really, I can’t log in without rushing to log in ||0
Will overdue affect personal credit || How to calculate overdue||0
Hello, I have successfully repaid a sum of money last month, why didn’t I restore the quota? || I paid off the loan today, can I continue to take out the loan tomorrow||0
When can I open microfinance loans || When can I add microfinance loans to borrow money? ||1
Why not pass || Why is my comprehensive assessment passed ||1
How can I pass the approval || Fail the approval||1
How to calculate the interest of the micro-generation || Daily interest of the particle bag||0
I am a China Construction Bank card || Is the card used in WeChat an ICBC card? Only the micro loan is available in the wallet ||0
Can I repay from the WeChat balance || Can't repay the money in WeChat? ||1
I want to change my phone number || The phone number has been changed to ||1
Can I get a bank card at the age of 14 || Balance on the card||0
1The supported bank cards are || What banks are supported by Micro Loan||1
I entered the last four digits of my ID card incorrectly, is there no way to remedy it || Why is my ID number wrong||1
Why has the repayment failed since this morning? The balance in my card is enough || Why is the money in my card just right, saying that the repayment failed. ||1
Why did I fail? || Why can't I open particulate goods||0
I want to ask how can I get a loan || Waiting for your invitation||0
Can a large amount transfer out be received in real time || Can I borrow||0
How much daily interest do I borrow 12,000 yuan || How much daily interest rate 10,000 yuan in 20 installments? ||1
Change phone number || Can the phone be changed||1
There is an icon, but it can't be opened. What's the matter || Why can't I open an account with my Taiwan compatriot ID? ? Taiwanese don’t have an ID number! Just open an account with the Agricultural Bank of China? ? ||0
Can the borrowed money be withdrawn in cash || Can the borrowed money be withdrawn in cash||1
I'm paying back the rest of my money now, can I borrow it right away? || How to check whether the repayment is successful ||0
Why did I not pass the review || Why did my assessment fail. ||1
How to turn off particulate cargo || How to turn off borrowing money||1
How much money do I need to pay for a day of borrowing 1,000 yuan || Hello, I would like to ask how to increase the limit||0
Why can't we log in with WeChat bank account when I log in? || Why can't my account log in? ||1
How can I pass your comprehensive evaluation || How can I pass the comprehensive evaluation? ||1
When will I know whether the loan is successful || When will the loan be received||1
How to extend the installment period? || How to manually repay installments||0
Hello, do I repay 10,000 every month if I borrow 10,000?|| If I borrow 20,000, 10 months, how much do I have to repay every month||1
Why do I have no quota? My 2 WeChat accounts have tens of thousands of monthly turnover, and so are my QQ accounts. What's the matter? It's not a shortage of money, just for emergency and convenience! || Why is there no quota information? ||1
Why can't I borrow || Why the review failed ||0
Bill details || Current bill amount||1
Company customer service phone number || Will there be a call after 5 o'clock ||0
15 minutes have passed, why hasn’t it arrived yet || 15 minutes have passed, why hasn’t it arrived yet||1
What to do if the approval is not met || What to do if the bank approval requirements are not met ||1
Why didn't I pass the synthesis? || Why do I always say that the review failed, ||1
Can I change the repayment date || Can I change the repayment date||1
How to change the repayment card number || How to change the repayment bank card||1
Hello, my loan was paid in advance. I need a loan settlement certificate to buy a house, can you provide me with it || send a settlement certificate||1
Why is my credit line so low? || What is the highest balance||0
Can I only borrow up to 40,000 per transaction? || This is up to 1,000?||0
I haven't received a call. What should I do || Why haven't I received a call for confirmation for so long? ||1
Can I repay with change || Can I repay with change? ||1
Or Alipay happy || Consumption quota||0
The bound bank card is related to the limit of the particle bag || Is the loan limit related to the bound bank card||1
Where to do it || If you want to increase the quota, what procedures are required? Thanks||0
If I apply at 6 pm, when can I call to confirm? || Do you still need to call to confirm the next win application||0
Manual service || Why does my bank card have money and your deduction failed||0
Are QQ, WeChat and WeChat the same company? || Why there is no micro loan on QQ and it is not displayed on WeChat ||0
If I pay off the loan in advance and apply again, can the quota be increased? || Early repayment||0
Why no quota || Why am I not quota yet||1
Hello how to increase the amount || How to increase the amount more||1
Settlement || I repay the loan in advance, and you need to issue a settlement certificate for the bank mortgage loan. Can you issue the certificate||1
Hello, I would like to ask, is it possible to issue a settlement certificate for a sum of money that has been paid off || Can you provide me with a loan settlement certificate? ||1
You can call me again, now you can communicate with each other || Why do you always call me when I am in a meeting? I can’t answer it. Can you call me after the meeting?|1
Why I have applied for so long and there is still no news || Don't send me a message if you don't activate it ||0
Review time || Why did my bank fail the review requirements||0
I can’t log in all the time || Why can’t I log in now||1
Why can't I pay the debt? || Why can't you pay back the change||0
How to fill in the information || But I can’t fill in the information! ||0
I want to ask about the review time || How long does the review take||1
Hello, is this one of mine overdue? || Hello, I would like to ask if I have one time overdue, will it have a big impact on my next time||0
Why can't the WeBank app be opened today? || Can't log in to WeBank App||0
Is there any activity to collect coupons now? || Give me a coupon||1
Why can't we meet the requirements of WeBank || Why not meet the requirements of WeBank? ||1
Repayment of the microparticle loan || I am using the microparticle loan, the amount is more than 70,000, and it has been repaid for four months, and it has never been overdue||0
I don’t want to borrow, how to cancel || How to cancel an already applied loan||1
What should I do if I have not had a phone call?|| It’s not a flash payment. Why do I apply for a few days or wait for phone confirmation||0
Why is there no loan function in my wallet || What is Weiludai||0
Welfare activities || Recommend friend activities to which number ||0
How long does it take to adjust the amount after general use || How long does it take to confirm the general call? ||1
Scope of the repayment date || When is the first repayment||1
How often does it take to mention it || How long does it take to increase the quota||1
Failed to bind the card || My bank card cannot be bound||1
Can't open an account? || I am an invited customer, why can't I get it through? ||0
Why does the comprehensive assessment fail || Why does the comprehensive assessment fail suddenly appear? ||1
What day is the repayment date || Is there any interest for borrowing today||0
Do you have to wait long || Help me see if my repayment on June 24 is successful||0
How to change the Bonding Card || What should I do if the reserved number of the bank card bound with the micro-loan loan is different from the current number? Can borrow||0
Why do I keep typing the password || Keep typing the password||1
Repay 500 first || How to repay the loan||0
How to check accounts || How to check repayment date||0
17 points are automatically deducted? || Isn't the deduction unsuccessful||0
Can the borrowed money be withdrawn directly || Can the money be withdrawn||1
Deduction on the 27th. It’s the 30th today, why haven’t the deductions been made yet? || The general automatic repayment time is what time in the morning ||0
The PBOC's credit information is incorrect || Reasons for not passing ||0
Refund of loan application || How long has the loan been cancelled without calling||1
How much interest does 10,000 use in a month || How much is the interest of 10,000 yuan for 10 months? ||0
0.05% is a few cents of interest || 0.05 interest||1
Can’t I repay in advance || I wanted to repay in advance. Click on the repayment details and there is no response ||0
How to turn off the ratio function || How to turn off ||0
Why can’t I borrow from a meager loan || Why did I fail to borrow money, and what reason||1
My second payment did not arrive || How long does it take to open a batch of places||0
What should I do if I have not had a phone call || I am applying for a loan in the morning, but there is no phone confirmation here? ||1
What does it mean if the approval requirements are not met || The requirements of WeBank are not met||1
How to bind a bank card? || How to bond bank card||1
How do customers invite them || Why haven't I waited for the call after I applied in the morning? ||0
When does this call come? || How long will it take to call to verify your identity? ||1
Why is the deduction shown today as a consumer loan transaction? And the WeChat did not prompt that the repayment was successful? || I only have one installment to pay off on September 28, can I apply for a loan now? ||0
How to close QQ Micro Loan || Cancel account||1
How can I change the repayment date || Can I change the repayment date once? ||1
How can I change the repayment date || How can I change the repayment date||1
Why does my loan always fail to pass the review || Why it shows that I can borrow one thousand, and then it shows that it fails the review ||1
How long does it take to call back || When does his phone call||1
I just transferred from a bank card to WeBank, why didn’t it arrive immediately? || You called me today and I didn't receive it. Is there anything wrong? ||0
Why did the comprehensive assessment fail after it was opened? || Why did the loan reply fail? ||1
How to cancel the loan while waiting for the call? || Can I cancel the loan? ||1
Boss, borrow some money to spend || Where's your boss||0
20 thousand 0.05%, how much interest is that day? || Hello, I just borrowed 4W and I will pay it back in a few days. How much is the handling fee? ||0
Cannot automatically deduct the payment, how to repay the payment. || Why does it prompt that the repayment is unsuccessful if the funds in the repayment account are sufficient ||0
I received the invitation of Weiweidai today but it was closed by mistake, and there is no later. || Originally, I had the Weiweidai icon, why is it missing||1
The transfer limit? || Transfer-in limit||0
Is the deposit guaranteed || Safe platform education Baishitong||0
What is the phone number || What is your customer service phone number? ||1
Where can I find the microfinance loan || Any qualified ||0
Why can't my Industrial Bank debit card be credited? || After logging in to WeChat, open me->wallet->bank card, but there is no display of borrowing money, what should I do? How to apply for microfinance loan? ||0
How to change the repayment card number? || How to modify the repayment method||1
Usually a few days to lend || When will the loan limit be updated||0
The call was not received just now! || Haven't received a call to confirm ||0
Can I apply to change the repayment date || How to change the late repayment date? ||1
When will I call again || When will I call||0
The text message keeps reminding me that the loan failed || Why can't I borrow it for the second time||0
Handling fee for repayment || Is there any handling fee for borrowing||1
Hotline || What is the total customer service number to call now||1
How to become a guest || After QQ upgrade. Why can't I find the micro loan||0
I borrow 20,000 yuan at a time and pay it off after 10 days. How to calculate the interest || Can I pay it off within a month? ||0
You call your boss out || Call your boss out to speak||0
Wechat, please help to activate Micro Loan || Activate limited-time benefits||1
When will I receive a review call || 12 hours have not been contacted yet||0
When will your return call come over || Generally how long it will take to wait for a call||1
What can't be used to buy? || What does it mean that this loan cannot be used to purchase funds, securities, etc.? || ||0
How much is the interest of 10,000 a month. || How much handling fee will be deducted for repaying the loan within one week? ||0
How to qualify || How to qualify ||1
Unable to view credit limit || Unable to view credit limit||1
I said I did not receive the red envelope || How can I receive the red envelope||1
Which banks are supported by Weiwei Loan? || What bank does the microfinance loan support||1
Can't I repay by myself || Is it not possible to repay with a red envelope? ||0
How to perform ID verification || Identity verification||1
Why does the repayment always fail today? || Today is the next day, and there is no automatic deduction yet||1
I don’t want to apply anymore, can I cancel it?
Cannot change the phone number || The reserved phone number is disabled, how to change it||1
What are the restrictions on the purpose of borrowing || What can be used after borrowing||1
Today’s repayment failed because of it || 7/15 repayment was unsuccessful||1
Issue a payment certificate || I need a payment certificate||1
I still can’t log in after a day || But I can’t log in||1
When can I get an invitation || Why not on WeChat||0
When can I call back after borrowing || How long does it take to answer the phone after borrowing||1
Why does the processing fail if I continue to purchase || Hello, my account financial interest calculation is incorrect, what should I do ||0
You didn't receive the audit call before, will you still call? How long will I call again || Excuse me, I did not receive the call||1
Hello, I have deducted the money from my bank card yesterday. Why does it still show that the repayment failed today || How to see how much is still next month||0
Can I issue a settlement certificate || If I issue a payment settlement certificate||0
My particle loan has always been repaid on time. After all of it is paid off, why can’t I borrow it any more || Hello, can you tell me the card number of my repayment? ||0
