Why can’t my mobile phone still be able to borrow money?| The loan limit is displayed on my mobile phone, why can’t I borrow money? ||0
Please cancel the 2500 loan I applied for in the morning. My colleague made a joke. Thank you || No need to borrow anymore||1
When will your return call come over || How long does it take to confirm the call||1
How to solve the lack of comprehensive score || What is the internal comprehensive score? ||0
Not meet || What to do if the requirements are not met ||0
When will it be opened || Opening hours for the next loan||0
Why did the loan fail? || Why always show illegal information and then fail to borrow? ||1
The bound mobile phone number has not been changed? || The previous phone dropped||1
I don’t have this function || Hello, I don’t have this function in WeChat? ||1
The loan can be withdrawn from the card || How long does it take to receive the bank phone confirmation||0
I have sufficient funds, no deduction || My bank card deduction was unsuccessful? ||0
Excuse me, I’m on the credit investigation, has it been paid off, is there a settlement certificate?|| Particle loan settlement certificate||1
Can the supporting bank borrow money || Is it the bank card I borrowed from, and which card to return? ||0
What should I do if I am reminded that the verification code is entered too much? || I received the verification code, but where can I enter the verification code? ||0
Repay as you borrow, can you borrow for a few days || Can the repayment period be extended||0
Why is the quota reduced by half? || Will the loan amount be reduced if the particle loan is not used for a long time ||0
Why doesn’t anyone else have WeChat, only my WeChat has borrowed money || WeChat bank card does not borrow money||1
How to collect the interest of the particle loan || How to use it so that there will be no interest||0
Can I register || Can an ordinary business card register||0
What is the minimum term for borrowing? || Is it okay to have no installments? ||0
WeBank Card to Bank Card || What bank card can be transferred to WeBank||1
Fill in the information || Too many information errors? ||0
There is money in the card, but it prompts that the repayment failed || I have money on the card, why does the automatic repayment fail? I also failed to repay the loan with WeChat, and I have not been able to pay the loan. Wouldn't it be yours deliberately designed this way, so that I can charge my late fee? You are too shameless to do this||1
What is the date of repayment each month || The phone confirmation on the same day is the next day||0
How to apply for a micro loan || How do I apply for a micro loan ||0
Is the product itself safe? Is it as safe as traditional bank fixed deposits? || 5-year time deposit||0
How to pay off in advance? || How to make a one-time repayment if you don’t use it||1
Don't come here for information || Don't find me anymore||1
Hello, in Mote Loan, how did you get the loan? ? ? ? || Hello, I just applied for a loan. ||0
Hello, haven't you opened the micro loan for me?| How to increase the amount, I have repaid many periods on time ||0
‍What's wrong with the name format?| ‍Hello‍ I have to‍WeChat‍Why is the name‍ format‍wrong‍????? ||1
Why is there no icon for the microfinance loan || How can the microfinance loan exist||0
2 is my problem || 3 kinds of problems||1
What is your customer service phone number || Can you call me now? ||0
I am now paying off the loan in advance, can I still borrow?| My one, if the loan is paid off in advance, when will the next borrowing be||1
Why can't my phone open the loan|| Why doesn't my phone have this||1
What are the general deductions || When is the general automatic deduction||1
Why can't I pass || Evaluation failed ||1
Customer Service || Why can't you take a loan||0
What conditions do you need to be a pro || Why I am not qualified||1
Can I make another call to confirm? || What is our customer service phone number||0
When can I use the loan business? || Generally how long does it take to borrow for the second time||0
Can the repayment in the first month be delayed for a few days || Excuse me, the repayment date has arrived, can I postpone it for a few days in the future? ||1
How to get a loan after I opened an account || I want to exit the account opening||0
I forgot to save the money by the repayment period. I remembered that I paid it back at three o'clock in the morning of the same day in the middle of the night. How much late fee do I need to deduct for this? || How much overdue and penalty interest are charged||1
Okay, tell me || Can I open it now when my application was closed last time? ||0
Is it possible to open a micro loan || Can I apply for a micro loan voluntarily||0
Is there a limit for WeBank transfers? || What is the daily limit for transferring out? ||1
Why do I have a window and no quota || Why do I have no quota||1
When will it arrive || Will it arrive during the Mid-Autumn Festival||0
Hello, I would like to consult, how can Micro Loan borrow money, thank you! || Can you borrow money? ||0
Why can't I borrow my loan || Why the approval failed ||0
WeChat has Micro Loans, why can’t I see them in QQ Wallet? || Why can't I use it||0
On the 14th repayment day, the 15th manual repayment is possible || The 20th repayment is it possible to repay the 21st on the 21st ||0
If you borrow one hundred thousand and repay it in five installments, what is the total amount of interest || how much interest||0
Hello, can you give me a certificate of settlement? || If I pay off the loan, can I provide proof of repayment? ||1
Why does it show that you can't borrow money? || Why can't WeChat borrow money||1
How to have Lianlidai || Why can't I||0
Why is it prompted me to fail the review? || Why is it prompted me to review but not||1
Can it be taken out and used? || Can't that one be taken out? ||1
Why can't I make early repayments || Why did I fail to make early repayments! The balance in my bank card is sufficient! ||0
Didn't see the micro-finance loan || What should I do if there is no in the wallet? ||0
What can't be used for || What does it mean that you can't buy a house||0
What can be used after borrowing || Can the borrowing be used to repay the credit card? ||1
Can I withdraw cash or recharge my phone bill? || Can only recharge, can't withdraw cash? ||1
Why can't I charge it || Payment cannot be opened||0
How to increase the amount of increase || How to increase the amount||1
The bank card binding mobile phone number has been changed! Why is it still the original mobile phone number || The reserved phone number has been changed, how can it not work||1
Can it be paid off in full in advance? || If I repay the payment in advance, will the interest only count to the day ||0
Open || How to apply for Microparticle Loan||1
After applying for a loan, how do I know that the money has arrived in my account || How to count as a successful loan||1
What banks does the software support || Can I open without a bound bank card||0
Why is it prompted that the loan failed || Hello, my loan failed, what is the reason? ||1
How long does it usually take to call in the morning when I apply? || How long do I usually call||1
How long will I call to notify after borrowing || How long will I receive a call after clicking on the loan||1
What should I do if the payment is not due || Fine-grain loan fines||0
Why can’t I log in to the app today || The app can’t log in||1
Why did my loan application fail || How to check the passed result||0
hi, how long does it take for the payment to arrive in the account || Why I did not receive the information for the payment in this period||0
What can borrowing be used for || Can't buy a house, can't invest in other things, right ||0
Why does the comprehensive evaluation fail when borrowing money, and the money cannot be borrowed || Why it fails the comprehensive evaluation failing ||1
The deduction in the morning was unsuccessful, what time was the deduction again || The deduction in the morning was not deducted||0
Why the microparticle loan applied for has not yet arrived || 1When can I apply for the microparticle loan again||0
Why haven't you called? || Can WeChat transfer repayment? ||0
I would like to ask you to issue a settlement certificate || settlement||0
The loan is not the same day, when is the repayment date || What is the repayment date||1
Can I borrow money || Is there any micro loan on WeChat? ||0
Will there be a late fee after the deduction at 17:00 || If it is overdue, how much interest will be penalized: how much interest ||0
Once I opened the Weizhong APP, it was not the QQ account I logged in. I asked how to enter the QQ account I logged in to log in? || What happened to the Weizhong app? Daily income is messed up||0
What is the daily interest rate of 10,000 yuan? || How much is the interest calculated for five months for 1000 yuan? ||0
The deduction in the morning was unsuccessful. What time is the deduction again || Why the deduction failed today? ||0
No on WeChat || What to do if you activate it||0
Mote Generation || Can you borrow money? ||0
Why can't I get the confirmation phone number from the bank? || What are the general audits||0
Collection of interest-free coupons || How many days do I need to use the 7-day interest-free coupons? ||0
How can I pass the comprehensive certification || Don't send me a message if you don't open it to me ||0
How to check your own quota || The quota is too low! Apply to cancel the micro loan||0
How to calculate the penalty interest for overdue repayment || How to calculate the interest for overdue payment||1
Why hasn't the account been received after three minutes || Why hasn't the account been received since I applied for it||1
I did not receive your verification call just now || I did not receive the verification call just now, please call again ||0
Why there is no quota || Why I have never had a quota||1
How much can I borrow for the first time? || There is a quota for the microparticle loan, which cannot be released ||0
Hello there! I can’t log in to WeChat every day these days. The network problem is displayed, but the network itself is okay. || Cannot log in after upgrading ||1
Login password forgotten || Weizhong trading password forgotten||0
How to unbind the bank card || My bank card is bound to my wife's. Can I borrow money in this case||0
Why didn’t my micro loan open || My friend’s WeChat wallet can be used to borrow money. Why did I click in?||1
) How long do I need to wait || But I haven't called after ten hours ||1
