How to change the repayment contact phone || Why hasn't my repayment bank card been changed?|0
No deduction yet at 17:00 || The deduction failed this morning. Will the deduction be automatically deducted this afternoon? ||0
I have already repaid and received a successful repayment message, but I received an overdue message after an hour. What is the reason? || I have already paid the repayment, why is there an overdue reminder? ||1
If the first deduction fails, follow the SMS prompt and modify the order of consumption. How to repay the next step? || The order has been modified, how do I proactively repay? ||1
What's the date of my repayment || I forgot that today is the repayment date, and the balance in the card is insufficient. Now that there is money in the card, today’s interest will still be deducted? ||0
How long will the status in the credit investigation be restored? || How long can I borrow money after repayment in advance? ||0
How to increase the amount of borrowing || How to increase the amount of borrowing||1
Why can't I meet the review conditions || Hello, how long will it take to borrow money||0
How to cancel an account || I want to turn this off. ||1
Is the number 103616 sent by your SMS to the loan limit review || It’s not that the message format is not supported. There was no problem when I used the software the day before yesterday. It makes no sense! Is it a problem with your server? ||0
How to enter ID card authentication? || How to verify ID card||1
Can’t check the quota.|| Now it shows that the quota cannot be checked, so how can the quota be available as soon as possible||1
How to get this loan qualification || How to get the loan qualification for micro loan||1
How long will it take to wait for a call to confirm || How long will the customer service call||1
Can I cancel the borrowing by mistake?|| Can I cancel this borrowing software||0
Do I still charge interest for the remaining time for early repayment? || I want to borrow 10,000 yuan, the time is 30 days, how much interest do I need||0
I just went out and didn’t bring my mobile phone. || Can I use the mobile phone to activate the micro loan||0
How long does it take to confirm by telephone in general || How long does it take for the bank to confirm by telephone in general? ||1
'Why can't I log in || Why can't I log in today||1
Will it be blacklisted? || When should I pay it back at the latest? ||0
1. How to change the repayment bank card || How to solve the card replacement||0
There are too many information input errors to borrow money || On the borrowing page, I have entered the correct name and ID number, why it always shows that I have entered too many incorrect ID information? ||1
No loan reminder || Is there a message reminder one day before repayment||0
I haven’t called you for 2 days || I have not received a call for the particle loan application on the 29th.||1
I want to ask how to close the Motodai account || I want to close Motodai immediately, how to do it||1
Can I borrow again on the same day after repayment in full? || Can the amount be increased after full repayment||0
Why can't it pass the review? || What does it mean that I did not meet the review requirements||1
Ask, what is the daily interest rate || What is the minimum interest rate||0
When to call after general loan || How often does the bank call to confirm after general loan||1
Open Micro Loan || Open Micro Loan||1
Where to repay || How to borrow How to repay||1
Hello, how do I change the bound bank card || I changed the card, can I still repay the money||0
Didn't answer the first call? When did you call the second time || If I missed the verification call, how long will I call again? ||1
I have been invited, why can’t I see the quota again || Why is there no quota open||0
I only saw the repayment information this afternoon, and the money has been deposited || Hello, I will repay part of the loan first. Will interest be deducted for the part already repaid? ||0
Hello, I would like to consult, my money was paid two days late, will it affect my credit investigation || It’s not me or you don’t deduct it||0
Personal repayment certificate || Hello, I have paid off the loan, can you give me the proof of repayment||1
Why is there no automatic repayment on my 9th || Why is there no automatic repayment today? ||1
The bank card I received is useless, can I change the card || Can I change the card binding||0
Ping An Bank || How to cancel a bank card||0
I have borrowed 1000 now, can I borrow it again? || When can WeChat borrow money? ||0
How long is the best period for repayment of 20,000 yuan || How many days do I need to repay the loan||1
I have entered the wrong ID card many times every day || Why is it prompted me to input too many ID number||1
Request to turn off Micro Loan || I want to turn off Micro Loan||1
The bound bank card is lost || No, there is a problem with my previously bound bank card, and I apply for a new bank card for repayment, what should I do? I have already asked you before the repayment date, but no one contacted me. What should I do? ||1
How long does it take to get the money || Isn't it to be verified by phone||0
How to cancel the loan application || My wife just borrowed 12,000 here, can I cancel it||1
Failed assessment || How to correct if not passed? ||0
Suppose I borrowed money and want to pay off all the instalment money in advance. Is this okay? Is it not interest? || Can I make a lump-sum repayment in advance||0
How did the loan fail? || Failed to borrow money||1
How long do you usually call || The key is how long you have to wait||0
What if I am overdue || Help me see if the deduction was successful today? ||0
Loan IOU || IOU Information Loan||1
Can the loan be withdrawn || Hello, can I withdraw it||1
Modify the payment bank || Hello, I want to change a bank card for repayment, how do I change it||1
Are there any coupons for the current loan? || Are there any interest-free coupons||0
What company's product is this || Why can't I access your homepage? ||0
How can we use the microloan || How can we use the microloan? ||1
Why is the payment not deducted today? || Why hasn't the money been deducted by the time||1
What bank does it support? || Which banks are supported||1
What is the monthly interest rate || What is the minimum interest rate||0
Borrowing 5000, how much is the interest per day || How much is the interest per day for 10000 yuan||1
How to do the micro loan || How can't it? How to activate? ||1
Must be activated immediately || Can you lend money on Saturdays and Sundays||0
After application. How long will it take to call to confirm? || How long will it take to open||0
Why there is no quota! ! || Why is there no quota after the microfinance loan is opened||0
It was verified, but it failed. what does it mean? || Why not pass the review? ||1
1. Can't see the micro loan icon || 4: Can't see the micro loan icon ||1
Reply in a few days || Where to get the money||0
He said that it should be repaid 3220. I paid on WeChat but prompted that the repayment failed. || Hello, does Molidai check the credit every time it is borrowed? Wouldn't it be too frequent? Will it affect future loan business? ||0
What is the reason for not meeting the approval requirements || Why it shows that the approval requirements of WeBank are not met||1
Can’t I deduct from the WeChat wallet || QQ is an invited customer, is WeChat okay? ||0
Can’t I apply for an Apple phone || The reserved phone number is incorrect||0
Is Zhongxiang Taiping 90 available for purchase starting at 50,000 || Excuse me, tomorrow's Zhongxiang Taiping 90 is not on the calendar, how to buy?||0
I have a friend who wants to use it. I don’t know how to handle it. His mobile phone is always an interface. || Can I change my phone number if I have already borrowed it||0
How to pass the audit || How to pass the audit||1
No matter how much you borrow, you can choose to repay it all at once? || On the April 18 repayment date, I paid off in advance, is the interest deducted for the current month? ||0
Why can't I log in with WeChat authentication || 'How can I not log in||1
My money was stolen || I obviously lost money when I sold it at a high price and bought it at a low price||0
Why can't it be activated || Already activated||0
Why don’t I have tens of thousands of transactions on WeChat every month || Everyone has particles||0
How to open an account Micro Loan || Hello! Can a Hong Kong ID card open an account with you? ||0
Can I borrow again after the full repayment tomorrow || Partial repayment is not possible||0
Cancel the loan, || How long has the loan been canceled without calling||1
I can’t see any configuration for Apple 7 || Just click the link to buy it above, ||0
I want to loan || Menu||0
Generally, how long does it take to call to verify || How long does it take to generally call||1
Will it be very risky, || Information submitted||0
I want to close the Motodai account || I want to close Motodai. How to do it||1
Can I withdraw cash before borrowing || Can I withdraw the money I borrowed directly? ||1
Why can't I make repayments now || I can't make repayments now Week 1 Can I still do it||1
Open a settlement certificate || Can I open a settlement certificate||1
I want to cancel the microloan account || Can I cancel it? ||1
How old is it to get to the account || I've been waiting for you for a long, long time for particulate goods||0
Is my first payment deducted? || Can't WeChat Pay for Repayment||0
Why do I say that I did not meet the approval || I did not meet the approval of WeBank||1
I downloaded the APP, but I can’t enter the Mote generation || Can I open it after downloading? ||0
Hello there! How can I activate Micro Loan? How is the daily interest calculated? || Calculator||0
, I borrowed a sum of money from Weihuo today, why didn’t you get the call to repay it?|| Why I haven’t received the review call||1
What should I do if I did not receive the call || I just applied and said to call me for a while, but I haven't received the call until now.||1
I want to loan on behalf of || Miscellaneous loan||1
Generally, how long does it take for the bank to confirm by phone after applying for a loan?
I want to ask if my repayment has been deducted for this period || I have made up my card and the money has gone in. Have you deducted it? ||1
Brother, you can pay off in advance at one time || That is to say, if the money is paid off in advance, is there less interest ||0
When will the account arrive || Why hasn't the account arrived after three minutes||0
How to satisfy the PBOC's credit investigation || What is the PBOC's credit investigation||1
When can a loan of 10,000 yuan be long || How long does it take for approval? ||0
I have entered too many times and cannot borrow money || Why is my identity information displayed wrong||0
Is the interest for a month 346 yuan || What is the interest||1
How to increase the quota || How to increase the quota||1
In five installments, can I pay off all in advance || Can I pay off in advance at any time so I borrow money? ||1
I want to modify my savings card for repayment, how do I do it? || How to change the problem of repayment Yuhang card||1
I have changed the reserved phone number, why can’t it work || Why am I still sending a verification code to my previous mobile phone number, I have already changed the bank’s mobile phone number||1
You can't see Zhongxiang Taiping 90 in the App || Zhongxiang Taiping 90 trailer||0
Today is the repayment date, will it be overdue if you can’t deduct it? || The repayment date on the 6th, the money deposited at noon on the 6th, is it overdue ||1
Why did I borrow again without success || Why can't I borrow||1
Can you help me borrow some money || I want to borrow some money||1
Why do you say that I am not in compliance || Why does it show that the review failed||1
Why does the comprehensive assessment fail when borrowing money, and I cannot borrow money || Why I have not been able to apply successfully? ||0
The arrears are paid off in one lump sum, is the quota restored in real time || When will my quota be restored||1
I see the icon, but I can’t check the quota || Why I don’t have the quota? ||0
Can't receive the information || How to cancel the loan application before calling to confirm the information ||0
Can microfinance loan be reopened?|| Can it be re-used? ||1
Why have I never had a quota? || Nima’s why I don’t have a quota||1
Can I apply for a micro loan? || Can I activate by myself||0
The first money was returned. When can I borrow || When can I borrow after repayment||1
wen open || please open ||0
、How long does it take to get the account after I apply for the loan|| How to get back the loan||0
You can call again || How long will you call||0
Fully paid off, can I still borrow money in the future || How to postpone the repayment||0
Can I directly withdraw cash on qq micro-finance loan || How to cancel the loan if I have not received a confirmation call? ||0
Why does the phone review fail || Hello, how long does a phone review generally take||0
I want to turn off the micro-loan function || I want to turn off the micro-loan||1
How to change the reserved mobile phone number || Hello, how to change the phone number||1
Enter the wrong payment verification password || No response after entering the password to verify identity ||0
Why did not meet the requirements || Why did not meet the requirements? ||1
Why is there a maximum of 40,000 yuan for a single loan? || What is the minimum loan amount you can borrow||0
Particle Generation || Introduction to Particle Belt||1
Why is there no quota for the Android version || Why can't I see the quota anymore ||0
Can it be transferred to other bank? ? || How to purchase||0
How much interest do you borrow 2000 per day || Borrow 20000, 20 months, how much interest is it||0
How to use micron particles || How to get a discount when using it at Chunfeng Wanjia||0
Call to confirm within a few hours after borrowing || How long can I receive bank calls after borrowing||1
What should I do if I have entered the wrong name several times and cannot borrow it? || There is a micro loan, but the loan fails ||0
Do you want to lend money right now?| How many work does it take for a successful loan application to lend money||1
I choose to pay off in advance, can I borrow money for repayment || How long does it take for me to repay the loan in advance||1
Supported bank cards || Is it not acceptable for CCB? ||1
I can’t get through when I call. || On the repayment day today, why haven’t the money been deducted? There is always money on the card||0
Why can't I check the quota? || 3: Why can't check the quota||1
You can directly deduct the money from my card that month. Can you continue to deduct the money after paying it off? || Hello, how many installments are mine? ||0
QQ Micro Loan is now available. The customer service is locked, and the customer service said that video authentication is required for re-opening || Will the credit of the future be affected by the opening of the micro loan? ||0
Why did I fail to subscribe || I have a micro loan, and I cannot write my ID number when writing information ||0
Turn off the function || Is there any notice when the account arrives? ||0
How can this pass || Then what is measured||0
How to calculate the interest if repayment in advance || The above display in advance is all paid off||0
The content of the loan has been written in QQ and it hasn’t arrived for so long || More calls are received||0
I changed my phone number. Can you change my phone number for me? || How to change the phone number to receive the verification code||1
When borrowing, can I fill in how long I can borrow, || Hello, if I borrow the money today, can it be repaid in three days? Still have to pay back slowly according to the selected period||0
Is QQ Motoware the same as WeChat Motoware? || Is the loan amount on QQ the same as the amount of micro loan on WeChat ||1
How can I pass || How can I pass the evaluation||1
My friends are all activated, and my Q consumption is higher than him. I'm also trying to invest in you as a public bank. My account consumes 100,000 Q coins || consumes m||0
The Android 637 version does not show the micro loan || Does it support Android mobile phone application? ||1
Can I use other bank cards to repay the loan || Then, can I use other cards to repay the loan, too ||1
I haven't received a call either || Has been under review, and I haven't received a call either||1
Why is it not displayed on WeChat ||, why can't I borrow||0
Why is it always prompted that the review failed || The loan failed 'Understand.||0
Is there a manual phone for consultation? || How to contact you with QQ||0
I called on the issue of complaint on the 9th, and then there is no more information || Loan of 40,000 yuan, 24 installments, repayment calculation formula ||0
How to repay || Why is the payment deducted before 17:00||0
How long will I wait for the gradual activation || Can I immediately open it to me||0
Is there a manual phone? || How to find you ||0
Agricultural Bank of China’s transfer-in amount limit || Is there a limit for bank card transfer to Wezhong Card? ||1
The previous message said that the repayment was successful, but the latter said it was overdue? || The payment has been repaid automatically, why is there an overdue reminder||0
Where do I download it from || How to download WeChat Micron Tablets||0
How to change the phone number || Why am I still sending a verification code to my previous mobile phone number, I have already changed the bank mobile phone number||0
Why is opening an account always unsuccessful? || Why does my mobile phone number registration always fail? ||0
How to use this service || Add a bound bank card, what should I do if I don’t want to use face recognition||0
I want to ask, the previous mobile phone number is no longer needed, how can I change it with the current mobile phone number || How is the previous mobile phone number||1
How much is 0.05% a day || Why can I only borrow 12,000 with a 120,000 line||0
When can I borrow the account || When can my loan arrive||1
Why can’t I borrow it again after repayment || Can’t I just repay it myself? ||0
Why did the audit fail || Why did my audit fail,||1
How to change bank card for repayment || Change repayment bank||1
How to modify the repayment of the microparticle loan hao || How to check the repayments ||0
How can I unbind the bank card that I bound || How to set the recharge password||0
Hello, I didn't receive a call just now, when will I call again? || How to re-review by phone||1
Can I unsubscribe || Unsuccessful loan How to cancel||0
It seems that there is no such function || There is no such function||1
How to cancel a loan || How to cancel a loan||1
How to activate MotoLoan ||: I can't see MotoI when I open the WeChat wallet||0
It keeps showing that the conditions are not met || Does not meet the conditions of WeBank ||1
Why there is wood on WeChat || Why didn't I see a||1
How much can I borrow || Hello, can you help me with a temporary or fixed amount? Thank you ||0
How to calculate interest for early repayment? For example, I borrowed 20,000, and I will pay it off in 5 days. || Can I repay part of it in advance||0
Will my quota be reduced in the future || Will the quota be reduced||1
No quota opened || No quota opened||1
How to activate || There is no micro loan on QQ, how to activate||1
How to calculate the interest || Do you want interest to be paid off within one month||0
The WeChat withdrawal hasn’t arrived yet, can I use another card to pay it back || Hello, how can I pay it back through another bank card||0
After downloading || APP I downloaded it||0
Why do I have a window and no quota || Why do I have no quota yet||1
What's the use for the first anniversary? No quota || Because I came to Nanjing and forgot to charge the card. Tomorrow enough balance is okay||0
Is it fake? It hasn't arrived yet || Three cents have arrived, why haven't it arrived yet||1
I have two phone numbers. How do I change the number? || Can I modify the answering confirmation phone number? ||1
How to change the phone number || Bank reserved phone number is different||1
My 15th is the repayment date, but the deduction has not been completed today, please manually deduct the money for me, otherwise it will be overdue and affect my personal credit after 0 o’clock! || Hello, the automatic repayment failed. Can you manually repay the loan before 5 o'clock? Or do I have to wait until 5 o'clock to automatically deduct the money again? ||1
Hello, I need money || QQ is worth more money||0
Why didn't it pass the review || Why didn't it pass ||1
Why did my loan fail? || Not approved||0
After borrowing, how long will the bank call to confirm || After clicking on the loan, how long will it take to receive the call||1
What time is generally deducted || When did you rush in before the afternoon to deduct the money||1
The card bound for repayment has been reported as lost, how do I replace it? || How to change to change repayment? ||0
Why doesn't I click on the wallet to have no Motodai entry || Why is there no Motodai in my WeChat window? ||1
How to issue a loan settlement certificate || If my repayment is successful...Where can I issue a certificate||0
I just wanted to click to see if I can cancel the loan || How to cancel the loan||0
Cancel || Cancel how to cancel||1
